id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	Bcell|Bcell	Bcell|HighPseudotime_tumour	Bcell|LowPseudotime_tumour	Bcell|MidPseudotime_tumour	Bcell|Myeloid	Bcell|Stromal	Bcell|Tcell	HighPseudotime_tumour|Bcell	HighPseudotime_tumour|HighPseudotime_tumour	HighPseudotime_tumour|LowPseudotime_tumour	HighPseudotime_tumour|MidPseudotime_tumour	HighPseudotime_tumour|Myeloid	HighPseudotime_tumour|Stromal	HighPseudotime_tumour|Tcell	LowPseudotime_tumour|Bcell	LowPseudotime_tumour|HighPseudotime_tumour	LowPseudotime_tumour|LowPseudotime_tumour	LowPseudotime_tumour|MidPseudotime_tumour	LowPseudotime_tumour|Myeloid	LowPseudotime_tumour|Stromal	LowPseudotime_tumour|Tcell	MidPseudotime_tumour|Bcell	MidPseudotime_tumour|HighPseudotime_tumour	MidPseudotime_tumour|LowPseudotime_tumour	MidPseudotime_tumour|MidPseudotime_tumour	MidPseudotime_tumour|Myeloid	MidPseudotime_tumour|Stromal	MidPseudotime_tumour|Tcell	Myeloid|Bcell	Myeloid|HighPseudotime_tumour	Myeloid|LowPseudotime_tumour	Myeloid|MidPseudotime_tumour	Myeloid|Myeloid	Myeloid|Stromal	Myeloid|Tcell	Stromal|Bcell	Stromal|HighPseudotime_tumour	Stromal|LowPseudotime_tumour	Stromal|MidPseudotime_tumour	Stromal|Myeloid	Stromal|Stromal	Stromal|Tcell	Tcell|Bcell	Tcell|HighPseudotime_tumour	Tcell|LowPseudotime_tumour	Tcell|MidPseudotime_tumour	Tcell|Myeloid	Tcell|Stromal	Tcell|Tcell
CPI-SS0DBA4D668	DPP4_CXCL12	simple:P27487	simple:P48061	DPP4	CXCL12	True	True	False	curated	False	0.122																																	0.818	1.414						1.156	1.752						1.068	1.663	
CPI-SS00FB3CB09	FFAR2_CCL4L2	simple:O15552	simple:Q8NHW4	FFAR2	CCL4L2	True	True	False	IMEx,IntAct	False	0.122															1.042				3.024		1.537	0.965				2.947		1.46																					
CPI-SS0B9E8C0DE	EPHB2_EFNB2	simple:P29323	simple:P52799	EPHB2	EFNB2	False	True	True	curated	False	0.122																													0.596	0.978	0.598	0.799		0.684			0.73												
CPI-CS0E54FF657	BMPR1A_BMPR2_BMP4	complex:BMPR1A_BMPR2	simple:P12644		BMP4	True	True	False	curated	False	0.122									0.985	0.868						0.972	0.855						1.023	0.906																									
CPI-SS00046DCF3	EPHA4_EFNB1	simple:P54764	simple:P98172	EPHA4	EFNB1	False	True	False	curated	False	0.122						0.474						0.435	0.46																				0.52	0.546														0.519	
CPI-SS079DDF890	TNFSF12_TNFRSF25	simple:O43508	simple:Q93038	TNFSF12	TNFRSF25	True	False	True	I2D	False	0.122														0.813							0.704							0.831	0.828						1.32							0.975							
CPI-CS07B61574B	LIFR_LIF	complex:LIFR	simple:P15018		LIF	True	True	False	curated	False	0.122									0.762							0.69							0.796		0.523												0.899		0.626										
CPI-SS0DBA81CCF	HLA-G_LILRB2	simple:P17693	simple:Q8N423	HLA-G	LILRB2	False	True	True	curated	False	0.122					1.079							1.032														1.008							1.107							1.013							1.109		
CPI-SS0A0DE9CD6	EPO_EPHB4	simple:P01588	simple:P54760	EPO	EPHB4	True	False	True	IMEx,InnateDB-All,IntAct	False	0.122																1.136	0.888	0.91					0.986	0.738	0.76																								
CPI-SS082ABF1EA	EFNB2_EPHB3	simple:P52799	simple:P54753	EFNB2	EPHB3	False	True	True	curated	False	0.122									0.902	0.928	0.864												0.722	0.748	0.684																								
CPI-SC04AED00CE	TNC_aVb6 complex	simple:P24821	complex:aVb6 complex	TNC		True	False	False	curated	True	0.122									1.487	1.514	1.608														1.208													1.276	1.371										
CPI-CS012D15A88	BMR1A_ACR2A_BMP4	complex:BMR1A_ACR2A	simple:P12644		BMP4	True	True	False	curated	False	0.122									0.985	0.868						0.972	0.855						1.023	0.906																									
CPI-SS073C1B796	CD52_SIGLEC10	simple:P31358	simple:Q96LC7	CD52	SIGLEC10	True	False	False	curated	False	0.122	5.323				5.358																								3.021				3.055										5.439				5.473		
CPI-SC05F111D21	COL27A1_a11b1 complex	simple:Q8IZC6	complex:a11b1 complex	COL27A1		True	False	False	curated	True	0.122													0.888							1.02							0.877							0.645							0.832							0.666	
CPI-SS0EDAE16B6	EPOR_KITLG	simple:P19235	simple:P21583	EPOR	KITLG	True	True	False	I2D	False	0.122									0.854	1.228	0.908					0.862	1.236	0.915																															
CPI-SS0320FFAFC	CTLA4_CD80	simple:P16410	simple:P33681	CTLA4	CD80	False	False	True	curated	False	0.122																													1.621				1.217		0.989								2.456				2.052		1.824
CPI-SS0348DB5E3	FGFR1_FGFR2	simple:P11362	simple:P21802	FGFR1	FGFR2	True	True	True	InnateDB-All	False	0.122																2.162		1.974					1.852		1.665												2.409		2.222										
CPI-SS03A4F7DC8	AXL_GAS6	simple:P30530	simple:Q14393	AXL	GAS6	True	True	False	guidetopharmacology.org	False	0.122																																	2.966	3.18	2.935					1.971	2.184	1.939							
CPI-SS04640F9C3	TFF1_FGFR2	simple:P04155	simple:P21802	TFF1	FGFR2	True	False	True	IMEx,InnateDB-All,MINT	False	0.122									1.537		1.349					2.069		1.882					1.709		1.522																								
CPI-SS044CF7EAE	TNFRSF10A_FGFR4	simple:O00220	simple:P22455	TNFRSF10A	FGFR4	True	True	True	InnateDB-All	False	0.122									1.238	1.241	1.167												1.181	1.185	1.11																								
CPI-SS03CC15FF3	PDGFRA_PDGFC	simple:P16234	simple:Q9NRA1	PDGFRA	PDGFC	True	True	False	curated	False	0.122																																					1.622	1.451	1.593	1.775	2.616	1.444							
CPI-SS032E9A219	CX3CR1_CX3CL1	simple:P49238	simple:P78423	CX3CR1	CX3CL1	True	True	True	curated	False	0.122																0.664				0.674										0.887	0.602	0.663		0.896															
CPI-SS077B160B9	IL15_IL15RA	simple:P40933	simple:Q13261	IL15	IL15RA	True	False	True	guidetopharmacology.org	False	0.122																														0.609			0.777	1.098	0.613					0.623	0.944								
CPI-SS06B86672A	CD44_FGFR2	simple:P16070	simple:P21802	CD44	FGFR2	True	True	True	InnateDB-All	False	0.122																3.581							3.749							3.892		3.704												4.436		4.248			
CPI-SS0B537DD3F	CEACAM5_CEACAM1	simple:P06731	simple:P13688	CEACAM5	CEACAM1	True	False	False	curated	False	0.122								1.368	2.261	1.975	2.122												1.532		1.392																								
CPI-SC02392F4AF	COL4A1_a2b1 complex	simple:P02462	complex:a2b1 complex	COL4A1		True	False	False	curated	True	0.122																														0.763	0.929	1.034					0.99	1.156	1.261										
CPI-CS0E997FABD	BMR1B_AVR2B_BMP4	complex:BMR1B_AVR2B	simple:P12644		BMP4	True	True	False	curated	False	0.143									0.646	0.53						0.629	0.512						0.778	0.661													0.612												
CPI-SC006E22794	COL1A2_a1b1 complex	simple:P08123	complex:a1b1 complex	COL1A2		True	False	False	curated	True	0.143													0.704	0.582																							2.708		2.785	2.774	3.074	2.952							
CPI-SS0F52745F3	DPP4_CXCL9	simple:P27487	simple:Q07325	DPP4	CXCL9	True	True	False	curated	False	0.143																																	2.315				0.631			2.653	0.92			0.542			2.564	0.831	
CPI-SC0F4BC2909	COL6A2_a1b1 complex	simple:P12110	complex:a1b1 complex	COL6A2		True	False	False	curated	True	0.143													0.569	0.446																							1.211		1.287	1.276	1.576	1.454							
CPI-SS02246DA17	CXCR3_CXCL9	simple:P49682	simple:Q07325	CXCR3	CXCL9	True	True	False	curated	False	0.143												2.333																					2.512											1.166		1.084	3.188	1.455	1.118
CPI-SS03E48EFEA	C3_C3AR1	simple:P01024	simple:Q16581	C3	C3AR1	True	False	True	guidetopharmacology.org	False	0.143					1.646							2.175							1.769							1.862							3.059							3.339							1.713		
CPI-SC0672FBD31	COL4A1_a1b1 complex	simple:P02462	complex:a1b1 complex	COL4A1		True	False	False	curated	True	0.143																																		0.556	0.433		0.417		0.493	0.483	0.783	0.661							
CPI-SS091B461CB	ACKR2_CCL28	simple:O00590	simple:Q9NRJ3	ACKR2	CCL28	True	True	False	I2D	False	0.143									1.036	1.098	0.961												0.777	0.839													0.968	1.03											
CPI-SC0458F68A5	COL4A2_a1b1 complex	simple:P08572	complex:a1b1 complex	COL4A2		True	False	False	curated	True	0.143																																		0.532	0.41		0.514		0.59	0.58	0.88	0.757							
CPI-SC0C8B4C056	CD40LG_a5b1 complex	simple:P29965	complex:a5b1 complex	CD40LG		True	False	False	curated	True	0.143																																											0.633	0.893	0.613	0.827	1.477	1.414	1.055
CPI-SS0F8C664D9	CXCR3_CCL20	simple:P49682	simple:P78556	CXCR3	CCL20	True	True	False	guidetopharmacology.org	False	0.143									0.943																					1.121			0.975											1.798		1.234	1.651		1.452
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	True	False	True	curated	False	0.143																													4.182				3.133		3.802	4.777	2.47			3.728		4.398							
CPI-SS00F282936	CXCR6_CXCL16	simple:O00574	simple:Q9H2A7	CXCR6	CXCL16	True	True	True	guidetopharmacology.org	False	0.143																														1.193			1.525											1.599	1.245	1.243	1.931	1.243	
CPI-SS07BECB892	EPHA2_EFNA3	simple:P29317	simple:P52797	EPHA2	EFNA3	False	True	False	curated	False	0.143									0.708	0.64	0.718							0.459					0.536	0.468	0.547																								
CPI-SC0F300DE24	COL12A1_a2b1 complex	simple:Q99715	complex:a2b1 complex	COL12A1		True	False	False	curated	True	0.143																								0.833	0.938												2.101	2.268	2.373		1.924	1.6							
CPI-SS0481D83A4	EGFR_AREG	simple:P00533	simple:P15514	EGFR	AREG	True	True	False	curated	False	0.143									2.183		1.338					1.809							2.107							1.639							1.899							1.649					
CPI-CS048465560	ACVR_1A2B receptor_INHBB	complex:ACVR_1A2B receptor	simple:P09529		INHBB	True	True	False	curated	False	0.143										0.644	0.726						0.626	0.708					0.664	0.776	0.857																								
CPI-CS085EF890A	ACVR_1B2B receptor_INHBB	complex:ACVR_1B2B receptor	simple:P09529		INHBB	True	True	False	curated	False	0.143										0.644	0.726						0.626	0.708					0.636	0.747	0.829																								
CPI-SS0B0E09B1C	CTLA4_CD86	simple:P16410	simple:P42081	CTLA4	CD86	False	False	True	curated	False	0.143																													1.553				2.739										2.387	1.412		1.142	3.574		1.586
CPI-SS077D7365D	CD28_CD86	simple:P10747	simple:P42081	CD28	CD86	False	False	True	curated	False	0.143																													1.359				2.546										2.261	1.285		1.016	3.448		1.459
CPI-SS07F60834D	MET_HGF	simple:P08581	simple:P14210	MET	HGF	True	True	False	curated	False	0.143					0.519	0.713						0.678	0.872							0.633						0.657	0.851																						
CPI-SS0322747C2	CEACAM5_CEACAM6	simple:P06731	simple:P40199	CEACAM5	CEACAM6	False	False	False	curated	False	0.143									3.003	2.097	2.925					1.989		1.91					2.274		2.195																								
CPI-SC0BD4C290F	COL14A1_a1b1 complex	simple:Q05707	complex:a1b1 complex	COL14A1		True	False	False	curated	True	0.143													0.567	0.445																							0.932		1.008	0.997	1.297	1.175							
CPI-SC004A436C5	COL12A1_a1b1 complex	simple:Q99715	complex:a1b1 complex	COL12A1		True	False	False	curated	True	0.143																											0.459	0.337									1.529		1.605	1.594	1.894	1.772							
CPI-CS0BCDC40FC	BMR1A_AVR2B_BMP4	complex:BMR1A_AVR2B	simple:P12644		BMP4	True	True	False	curated	False	0.143									0.646	0.53						0.629	0.512						0.778	0.661													0.612												
CPI-CS06C6E2321	NKG2D II receptor_MICA	complex:NKG2D II receptor	simple:Q29983		MICA	False	True	False	curated	False	0.143																																		1.206										2.413	2.175	2.206	2.168	2.63	2.201
CPI-SS08877A081	LGALS9_COLEC12	simple:O00182	simple:Q5KU26	LGALS9	COLEC12	True	False	True	InnateDB-All	False	0.143						1.268							1.228														1.028						2.662	2.93													1.368	1.636	
CPI-SS095E52E66	TNFSF10_TNFRSF10D	simple:P50591	simple:Q9UBN6	TNFSF10	TNFRSF10D	True	False	True	curated	False	0.143								2.65				2.582			2.901				2.833			2.424							3.084				3.016																
CPI-SS0B70EB09E	PDGFA_PDGFRA	simple:P04085	simple:P16234	PDGFA	PDGFRA	True	False	True	curated	False	0.143						1.479							1.955							2.583							2.231							1.861							1.935							1.693	
CPI-SS0BC7CD11B	LGALS9_MET	simple:O00182	simple:P08581	LGALS9	MET	True	False	True	InnateDB-All	False	0.143																													2.621	2.78	2.541	2.759											1.328	1.486		1.465			
CPI-SS0E7523314	WNT3_FZD1	simple:P56703	simple:Q9UP38	WNT3	FZD1	True	False	True	I2D	False	0.143																0.518	0.656	0.58		0.889				0.603	0.526		0.836																						
CPI-SS0817CE2B3	CCL3L1_CCR1	simple:P16619	simple:P32246	CCL3L1	CCR1	True	False	True	curated	False	0.143					1.079		0.716					0.817																					2.435		2.072												1.275		0.912
CPI-SS0817CE2B3	CCL3L3_CCR1	simple:P16619	simple:P32246	CCL3L3	CCR1	True	False	True	curated	False	0.143					1.079		0.716					0.817																					2.435		2.072												1.275		0.912
CPI-CS063AE1C91	IL6 receptor_IL6	complex:IL6 receptor	simple:P05231		IL6	True	True	False	curated	False	0.143					1.26							1.447							1.181							1.334							1.603							1.287							1.308		
CPI-SS0C9696AAA	CRTAM_CADM1	simple:O95727	simple:Q9BY67	CRTAM	CADM1	False	False	False	curated	False	0.143						0.934																												0.997										1.732	1.366	1.453	1.588	1.996	
CPI-SC0F7E26271	COL1A1_a11b1 complex	simple:P02452	complex:a11b1 complex	COL1A1		True	False	False	curated	True	0.143						0.663							0.85							0.804							0.692							0.753							3.04							0.683	
CPI-SS08DA48A5A	CCL3_CCR1	simple:P10147	simple:P32246	CCL3	CCR1	True	False	True	curated	False	0.143					1.771		1.408					1.069																					3.79		3.427												2.191		1.828
CPI-SS0CDAC688B	CXCL2_DPP4	simple:P19875	simple:P27487	CXCL2	DPP4	True	False	True	curated	False	0.143												1.004	1.342	1.253													0.847						2.199	2.537	2.449														
CPI-SC0814068D9	COL6A2_a2b1 complex	simple:P12110	complex:a2b1 complex	COL6A2		True	False	False	curated	True	0.163									0.775	0.942	1.047																										1.783	1.95	2.055		1.606	1.282							
CPI-SS05BA6D9C3	CCL4_CNR2	simple:P13236	simple:P34972	CCL4	CNR2	True	False	True	IMEx,IntAct	False	0.163	1.64							1.189																					3.846				3.32		3.267								2.585				2.059		2.006
CPI-SS0D95D41D6	FGF7_FGFR4	simple:P21781	simple:P22455	FGF7	FGFR4	True	False	True	I2D	False	0.163																							0.454	0.457						0.627	0.631	0.556					1.434	1.437	1.363										
CPI-SS027AFFC0E	NCR3_BAG6	simple:O14931	simple:P46379	NCR3	BAG6	False	True	False	curated	False	0.163		2.244	2.046	1.948		1.939																																						2.529	2.331	2.233		2.224	
CPI-SS0472C478C	BMP7_PTPRK	simple:P18075	simple:Q15262	BMP7	PTPRK	True	False	True	InnateDB-All	False	0.163									2.318		1.845					2.38	1.516	1.908					2.35	1.486	1.878																								
CPI-SS07D9A48A2	LTA_TNFRSF1B	simple:P01374	simple:P20333	LTA	TNFRSF1B	True	False	True	curated	False	0.163	0.987	0.917			1.474		1.65																																				1.598	1.528			2.086		2.262
CPI-SS06D13FCD3	DSC2_DSG2	simple:Q02487	simple:Q14126	DSC2	DSG2	False	False	False	curated	False	0.163									3.453	3.003	3.568					2.618		2.733					3.107	2.657	3.222																								
CPI-SC040C26CBD	COL21A1_a2b1 complex	simple:Q96P44	complex:a2b1 complex	COL21A1		True	False	False	curated	True	0.163										1.024	1.129					1.232	1.399	1.504					1.016	1.182	1.287																								
CPI-SC0E0C50FCA	COL14A1_a2b1 complex	simple:Q05707	complex:a2b1 complex	COL14A1		True	False	False	curated	True	0.163									0.774	0.94	1.045																										1.504	1.671	1.776		1.327	1.003							
CPI-SC01E9FAC20	COL16A1_a2b1 complex	simple:Q07092	complex:a2b1 complex	COL16A1		True	False	False	curated	True	0.163																	0.846	0.951						0.877	0.982												1.291	1.458	1.563		1.113								
CPI-SS088A0A760	EGFR_COPA	simple:P00533	simple:P53621	EGFR	COPA	True	True	False	InnateDB-All	False	0.163									3.473	2.945	3.136					3.098							3.397	2.868	3.06												3.189												
CPI-SS0055264F3	EGFR_TGFB1	simple:P00533	simple:P01137	EGFR	TGFB1	True	True	False	IMEx,InnateDB-All,MINT	False	0.163								0.83	0.844			0.973		0.911								0.753	0.767			0.897		0.834																					
CPI-CS02899BF8B	ACVR_1B2A receptor_INHBB	complex:ACVR_1B2A receptor	simple:P09529		INHBB	True	True	False	curated	False	0.163									0.694	0.805	0.886					0.742	0.854	0.935						0.747	0.829																								
CPI-SS0E25CE362	EGFR_TGFA	simple:P00533	simple:P01135	EGFR	TGFA	True	True	False	curated	False	0.163									0.851	0.797	0.801	0.824											0.775	0.72	0.724	0.747																							
CPI-SS0C56C483F	WNT5A_ANTXR1	simple:P41221	simple:Q9H6X2	WNT5A	ANTXR1	True	False	True	InnateDB-All	False	0.163													1.522			0.608		0.56	0.621	1.844							1.607							1.607							1.715								
CPI-SS00A8596B5	PVR_TNFSF9	simple:P15151	simple:P41273	PVR	TNFSF9	True	True	False	InnateDB-All	False	0.163								0.869				0.732			0.896				0.759			0.929	0.642			0.793			0.747																				
CPI-SS087E0E3FB	EFNB2_EPHA4	simple:P52799	simple:P54764	EFNB2	EPHA4	False	True	True	curated	False	0.163								0.839	0.826		0.758	0.912	0.948	0.884												0.732		0.704																					
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	0.163									3.633	2.727	3.555					2.727		2.649					3.555	2.649	3.476																								
CPI-SC058845C44	COL8A1_a2b1 complex	simple:P27658	complex:a2b1 complex	COL8A1		True	False	False	curated	True	0.163									0.814	0.981	1.086																										1.8	1.966	2.071		1.622	1.298							
CPI-SS0B6F0C894	DSG2_DSC3	simple:Q14126	simple:Q14574	DSG2	DSC3	False	False	False	curated	False	0.163									1.752				1.835	1.708		1.302				1.385			1.867				1.951	1.823																					
CPI-SS0E41702C1	IGF1_IGF1R	simple:P05019	simple:P08069	IGF1	IGF1R	True	False	True	curated	False	0.163																														1.341	1.668	1.445		1.483			1.701	2.028	1.806		1.843								
CPI-CS01A4D7E2F	BMR1B_AVR2A_BMP5	complex:BMR1B_AVR2A	simple:P22003		BMP5	True	True	False	curated	False	0.163									0.632		0.625					0.73		0.723					0.881		0.874												0.835		0.828										
CPI-SS0AE4CF4E7	ACKR2_CCL5	simple:O00590	simple:P13501	ACKR2	CCL5	True	True	False	curated	False	0.163												2.977		3.383												2.718		3.125					2.525		2.931					2.91		3.316							
CPI-SS0B87FE6E0	NOTCH1_JAG1	simple:P46531	simple:P78504	NOTCH1	JAG1	False	True	False	curated	False	0.163		0.508							0.529		0.468												0.49							0.591		0.53												0.544		0.482			
CPI-SS0C17BB772	FCGR2A_CXCL9	simple:P12318	simple:Q07325	FCGR2A	CXCL9	True	True	False	IMEx,IntAct	False	0.163												2.463																		2.48		2.397	4.502	2.768	2.432					2.491							2.388		
CPI-SS04641FE5F	CCL3L1_DPP4	simple:P16619	simple:P27487	CCL3L1	DPP4	True	False	True	I2D	False	0.163						0.883	0.794																										1.9	2.238	2.149												0.741	1.079	0.99
CPI-SS08991B378	CD6_ALCAM	simple:P30203	simple:Q13740	CD6	ALCAM	True	False	False	curated	False	0.163										1.916	1.88																				1.82	1.784												2.22	2.498	2.462	2.176		
CPI-SC0BC63F8C0	COL3A1_a1b1 complex	simple:P02461	complex:a1b1 complex	COL3A1		True	False	False	curated	True	0.163						0.445																					0.424							0.57			2.47		2.546	2.536	2.836	2.714							
CPI-SS04641FE5F	CCL3L3_DPP4	simple:P16619	simple:P27487	CCL3L3	DPP4	True	False	True	I2D	False	0.163						0.883	0.794																										1.9	2.238	2.149												0.741	1.079	0.99
CPI-CS0288D901D	ACVR_1A2B receptor_BMP7	complex:ACVR_1A2B receptor	simple:P18075		BMP7	True	True	False	curated	False	0.163									0.541	0.603	0.573						0.585	0.555					0.672	0.734	0.705																								
CPI-SC0545E2502	COL5A2_a1b1 complex	simple:P05997	complex:a1b1 complex	COL5A2		True	False	False	curated	True	0.163													0.579	0.457																				0.485			1.557		1.633	1.623	1.923	1.8							
CPI-SS0D2539AEB	FPR3_HEBP1	simple:P25089	simple:Q9NRV9	FPR3	HEBP1	False	True	False	guidetopharmacology.org	False	0.163																														2.556	2.926	2.776	1.879	2.496	1.757			1.614	1.463										
CPI-SS0F9D53834	JAM3_JAM3	simple:Q9BX67	simple:Q9BX67	JAM3	JAM3	True	False	False	curated	False	0.163	0.495	0.416				0.749		0.416					0.67																							0.749	0.67				1.004								
CPI-CS0C99F8D96	BMR1A_AVR2B_BMP7	complex:BMR1A_AVR2B	simple:P18075		BMP7	True	True	False	curated	False	0.163									0.541	0.603	0.573						0.585	0.555					0.672	0.734	0.705																								
CPI-SC09E5431A2	IFNG_Type II IFNR	simple:P01579	complex:Type II IFNR	IFNG		True	False	True	curated	False	0.163																														2.696													3.02	4.369	4.096	4.188	3.871	3.578	2.633
CPI-CS08A853007	BMR1B_AVR2B_BMP7	complex:BMR1B_AVR2B	simple:P18075		BMP7	True	True	False	curated	False	0.163									0.541	0.603	0.573						0.585	0.555					0.672	0.734	0.705																								
CPI-SS07155793F	ACKR3_CXCL12	simple:P25106	simple:P48061	ACKR3	CXCL12	True	True	False	guidetopharmacology.org	False	0.163												0.885	1.481						0.98	1.576						0.875	1.47													1.02	1.615								
CPI-CS05426BFFA	IL1 receptor_IL1B	complex:IL1 receptor	simple:P01584		IL1B	True	True	False	curated	False	0.163									0.657			2.19														1.971				0.76			2.294				0.954			2.487							2.092		
CPI-CS02C93975C	BMPR1B_BMPR2_BMP5	complex:BMPR1B_BMPR2	simple:P22003		BMP5	True	True	False	curated	False	0.163									0.632		0.625					0.73		0.723					0.881		0.874												0.835		0.828										
CPI-SS0FF55B42C	EPHB3_EFNB1	simple:P54753	simple:P98172	EPHB3	EFNB1	False	True	False	curated	False	0.184											0.44	0.51	0.536					0.467	0.536	0.562					0.403	0.472	0.498																						
CPI-SS0B01CF3AB	CSF1R_CSF1	simple:P07333	simple:P09603	CSF1R	CSF1	True	True	False	curated	False	0.184													0.865																	1.631	1.695	1.662	1.927	2.262	1.794						0.858							0.873	
CPI-SS03165AD8C	ACKR2_CCL2	simple:O00590	simple:P13500	ACKR2	CCL2	True	True	False	curated	False	0.184									1.095			2.856	1.793													2.597	1.534						2.403	1.34						2.788	1.725								
CPI-SS0816A4ED4	FGFR4_EPHA4	simple:P22455	simple:P54764	FGFR4	EPHA4	True	True	True	I2D,InnateDB-All	False	0.184								0.648	0.634			0.72		0.692		0.638			0.723	0.76	0.696					0.649																							
CPI-SS0A2D7895C	CEACAM1_CEACAM6	simple:P13688	simple:P40199	CEACAM1	CEACAM6	True	False	False	curated	False	0.184		1.998							2.891	1.985	2.813					2.605		2.526					2.752		2.673												2.201												
CPI-SC053BBE2B1	COL16A1_a1b1 complex	simple:Q07092	complex:a1b1 complex	COL16A1		True	False	False	curated	True	0.184																				0.472	0.35						0.503	0.381									0.718		0.794	0.784	1.084	0.962							
CPI-SS06A0B20BD	FGFR2_EPHA4	simple:P21802	simple:P54764	FGFR2	EPHA4	True	True	True	I2D,InnateDB-All	False	0.184								0.772	0.759		0.69	0.844	0.881	0.817									0.571			0.656		0.629																					
CPI-SS0E5AF12B6	NOTCH1_NOV	simple:P46531	simple:P48745	NOTCH1	NOV	True	True	False	I2D,InnateDB-All	False	0.184		0.538							0.559				0.492										0.52							0.621				0.554			0.51							0.574				0.507	
CPI-SC03DD946B2	TGFB2_TGFbeta receptor1	simple:P61812	complex:TGFbeta receptor1	TGFB2		True	False	True	curated	False	0.184								0.71				1.126	0.894									0.681				1.097	0.865									0.764				1.18	0.948								
CPI-SS0FC42EC80	EREG_ERBB4	simple:O14944	simple:Q15303	EREG	ERBB4	True	False	True	curated	False	0.184									1.475	1.705	1.616	1.212	1.147											1.026						1.08	1.31	1.221																	
CPI-SS0FF49C823	EFNA1_EPHA1	simple:P20827	simple:P21709	EFNA1	EPHA1	True	False	True	curated	False	0.184									3.914	3.899	3.965					3.38	3.365	3.431					3.857	3.842	3.908																								
CPI-SC0F73E9099	COL1A1_a1b1 complex	simple:P02452	complex:a1b1 complex	COL1A1		True	False	False	curated	True	0.184													0.635	0.513						0.59							0.477										2.46		2.536	2.526	2.826	2.703							
CPI-SS0F21D6CA0	EPHB4_EFNB1	simple:P54760	simple:P98172	EPHB4	EFNB1	False	True	False	curated	False	0.184											0.821	0.891	0.917					0.573	0.643	0.669					0.595	0.665	0.691																						
CPI-SC02F06FF62	COL8A1_a1b1 complex	simple:P27658	complex:a1b1 complex	COL8A1		True	False	False	curated	True	0.184											0.318	0.307	0.607	0.485																							1.227		1.303	1.293	1.593	1.47							
CPI-SS0E9015902	CD47_SIRPG	simple:Q08722	simple:Q9P1W8	CD47	SIRPG	False	True	False	curated	False	0.184							3.033		2.547					3.36							2.808		2.56					3.373							3.274							3.23							2.797
CPI-SS05E6D620E	EPHA1_EFNA4	simple:P21709	simple:P52798	EPHA1	EFNA4	True	True	False	curated	False	0.184									1.159	0.947	1.083					1.144	0.932	1.068					1.211	0.998	1.134																								
CPI-SS0339AE950	SIRPA_CD47	simple:P78324	simple:Q08722	SIRPA	CD47	False	True	True	curated	False	0.184									2.576		2.589																		3.214	3.542	2.989	3.555	3.456	3.411	2.979														
CPI-SS095DCA7F7	LILRA4_BST2	simple:P59901	simple:Q10589	LILRA4	BST2	False	True	False	curated	False	0.184																														2.922	3.862	2.959	4.338	3.299	3.317										3.551		4.028		3.007
CPI-SC05CCF815E	COL1A2_a2b1 complex	simple:P08123	complex:a2b1 complex	COL1A2		True	False	False	curated	True	0.184				0.994						1.078	1.183																					1.084					3.281	3.448	3.553		3.104	2.78							
CPI-SS02AFCED82	EPHA2_EFNA5	simple:P29317	simple:P52803	EPHA2	EFNA5	False	True	False	curated	False	0.184									1.047	1.057	1.241		1.358					0.982							1.069		1.187					0.998							1.021										
CPI-SC08226CD3B	COL9A2_a2b1 complex	simple:Q14055	complex:a2b1 complex	COL9A2		True	False	False	curated	True	0.184										1.061	1.166					1.053	1.22	1.325					0.92	1.087	1.192														1.075										
CPI-SS03A2EFDD5	EPHA1_EFNA5	simple:P21709	simple:P52803	EPHA1	EFNA5	False	True	False	curated	False	0.184										1.012	1.196		1.314					1.181		1.299			1.053	1.064	1.247		1.365																						
CPI-SS0E00478B4	NRP2_VEGFA	simple:O60462	simple:P15692	NRP2	VEGFA	True	True	False	curated	False	0.184									2.674	2.017	2.29																			3.317	2.66	2.933					3.086	2.429	2.702										
CPI-SS0FDAB7BA8	CXCL10_DPP4	simple:P02778	simple:P27487	CXCL10	DPP4	True	False	True	curated	False	0.184												1.226	1.564	1.475																			3.081	3.419	3.33					1.372	1.71	1.621							
CPI-SS03156A825	LTA_LTBR	simple:P01374	simple:P36941	LTA	LTBR	True	False	True	I2D	False	0.184		1.628	1.19	1.773																																								2.239	1.801	2.384	1.83	1.916	1.361
CPI-SS01A8F745A	EPHA1_EFNA3	simple:P21709	simple:P52797	EPHA1	EFNA3	False	True	False	curated	False	0.184									0.663	0.595	0.673					0.648	0.58	0.658					0.714	0.646	0.724																								
CPI-SS04F3A1E5C	COPA_SORT1	simple:P53621	simple:Q99523	COPA	SORT1	True	False	True	IMEx,InnateDB-All,IntAct,MatrixDB	False	0.184				3.326					3.957	3.706	4.056					3.429		3.528					3.621	3.369	3.719																								
CPI-SS0C85BC9AF	PROS1_AXL	simple:P07225	simple:P30530	PROS1	AXL	True	False	True	guidetopharmacology.org	False	0.184																																	2.992	1.996		0.952	1.037	0.837	0.818	3.512	2.516	0.971							
