id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	B_cell|B_cell	B_cell|DC	B_cell|EC	B_cell|Fibroblast	B_cell|HighPseudotime_tumour	B_cell|LowPseudotime_tumour	B_cell|Mast	B_cell|MidPseudotime_tumour	B_cell|Myeloid	B_cell|T_cell	DC|B_cell	DC|DC	DC|EC	DC|Fibroblast	DC|HighPseudotime_tumour	DC|LowPseudotime_tumour	DC|Mast	DC|MidPseudotime_tumour	DC|Myeloid	DC|T_cell	EC|B_cell	EC|DC	EC|EC	EC|Fibroblast	EC|HighPseudotime_tumour	EC|LowPseudotime_tumour	EC|Mast	EC|MidPseudotime_tumour	EC|Myeloid	EC|T_cell	Fibroblast|B_cell	Fibroblast|DC	Fibroblast|EC	Fibroblast|Fibroblast	Fibroblast|HighPseudotime_tumour	Fibroblast|LowPseudotime_tumour	Fibroblast|Mast	Fibroblast|MidPseudotime_tumour	Fibroblast|Myeloid	Fibroblast|T_cell	HighPseudotime_tumour|B_cell	HighPseudotime_tumour|DC	HighPseudotime_tumour|EC	HighPseudotime_tumour|Fibroblast	HighPseudotime_tumour|HighPseudotime_tumour	HighPseudotime_tumour|LowPseudotime_tumour	HighPseudotime_tumour|Mast	HighPseudotime_tumour|MidPseudotime_tumour	HighPseudotime_tumour|Myeloid	HighPseudotime_tumour|T_cell	LowPseudotime_tumour|B_cell	LowPseudotime_tumour|DC	LowPseudotime_tumour|EC	LowPseudotime_tumour|Fibroblast	LowPseudotime_tumour|HighPseudotime_tumour	LowPseudotime_tumour|LowPseudotime_tumour	LowPseudotime_tumour|Mast	LowPseudotime_tumour|MidPseudotime_tumour	LowPseudotime_tumour|Myeloid	LowPseudotime_tumour|T_cell	Mast|B_cell	Mast|DC	Mast|EC	Mast|Fibroblast	Mast|HighPseudotime_tumour	Mast|LowPseudotime_tumour	Mast|Mast	Mast|MidPseudotime_tumour	Mast|Myeloid	Mast|T_cell	MidPseudotime_tumour|B_cell	MidPseudotime_tumour|DC	MidPseudotime_tumour|EC	MidPseudotime_tumour|Fibroblast	MidPseudotime_tumour|HighPseudotime_tumour	MidPseudotime_tumour|LowPseudotime_tumour	MidPseudotime_tumour|Mast	MidPseudotime_tumour|MidPseudotime_tumour	MidPseudotime_tumour|Myeloid	MidPseudotime_tumour|T_cell	Myeloid|B_cell	Myeloid|DC	Myeloid|EC	Myeloid|Fibroblast	Myeloid|HighPseudotime_tumour	Myeloid|LowPseudotime_tumour	Myeloid|Mast	Myeloid|MidPseudotime_tumour	Myeloid|Myeloid	Myeloid|T_cell	T_cell|B_cell	T_cell|DC	T_cell|EC	T_cell|Fibroblast	T_cell|HighPseudotime_tumour	T_cell|LowPseudotime_tumour	T_cell|Mast	T_cell|MidPseudotime_tumour	T_cell|Myeloid	T_cell|T_cell
CPI-SC0EA3FC100	COL18A1_a1b1 complex	simple:P39060	complex:a1b1 complex	COL18A1		True	False	False	curated	True	0.08																							0.629	0.623									0.826	0.821									0.316	0.31																			0.416	0.411																																				
CPI-SS03722104E	HGF_CD44	simple:P14210	simple:P16070	HGF	CD44	True	False	True	IMEx,InnateDB-All,IntAct	False	0.08																																0.48					0.961		0.662	0.633																																										0.486					0.967		0.669	0.639										
CPI-SS08CA619FE	EGFR_GRN	simple:P00533	simple:P28799	EGFR	GRN	True	True	False	InnateDB-All	False	0.08																															0.338	1.093	0.554	0.539	0.334	0.417	0.323		1.232																																																													
CPI-SS0E2431C09	PDCD1_FAM3C	simple:Q15116	simple:Q92520	PDCD1	FAM3C	True	True	False	InnateDB-All	False	0.08																																																																																											0.371	0.282	0.342	0.454	0.288	0.276			0.275	0.285
CPI-SS046F6F0C1	EFNA1_EPHA2	simple:P20827	simple:P29317	EFNA1	EPHA2	True	False	True	curated	False	0.08																						0.466	0.459																			0.173	0.165									0.534	0.527																			0.189	0.182																											
CPI-SC09FDA4F45	COL6A1_a1b1 complex	simple:P12109	complex:a1b1 complex	COL6A1		True	False	False	curated	True	0.08																							0.356	0.35									1.532	1.526									0.488	0.482																													0.375	0.37																										
CPI-SS0C6448B94	IL1B_ADRB2	simple:P01584	simple:P07550	IL1B	ADRB2	True	False	True	I2D	False	0.08												0.331	0.343				0.795		0.326																																																															0.505	0.517				0.969		0.5											
CPI-SS07D9A48A2	LTA_TNFRSF1B	simple:P01374	simple:P20333	LTA	TNFRSF1B	True	False	True	curated	False	0.08		0.309	0.31						0.412	0.362																																																																																		0.335	0.336						0.437	0.388
CPI-SS0822AEF5F	PTPRC_MRC1	simple:P08575	simple:P22897	PTPRC	MRC1	False	False	True	curated	False	0.08		0.656							0.668			0.793							0.805																																																															0.776							0.788			1.169							1.181	
CPI-SS0CBC7840D	PTPRC_CD22	simple:P08575	simple:P20273	PTPRC	CD22	False	False	True	curated	False	0.08	0.692						0.65				0.829						0.786																																																																0.812						0.769				1.205						1.163			
CPI-SC02BFEEC8A	THBS1_a3b1 complex	simple:P07996	complex:a3b1 complex	THBS1		False	False	False	curated	True	0.08																							0.213			0.172							0.583			0.541							0.191			0.15							0.261			0.22																																												
CPI-SS0CF0E4DE9	CCL2_CCR2	simple:P13500	simple:P41597	CCL2	CCR2	True	False	True	curated	False	0.08																															0.246	0.364							0.258																							0.25							0.143												0.731	0.849							0.742											
CPI-SC09E5431A2	IFNG_Type II IFNR	simple:P01579	complex:Type II IFNR	IFNG		True	False	True	curated	False	0.08																																																																																											0.234	0.422	0.291	0.293	0.209	0.195	0.214		0.542	
CPI-SC058F72F90	FBN1_a5b1 complex	simple:P35555	complex:a5b1 complex	FBN1		True	False	False	curated	True	0.08																						0.245	0.54	0.318					0.322			0.747	1.043	0.821					0.825																																																													
CPI-SS0B81F1BF5	TNF_SEMA4C	simple:P01375	simple:Q9C0C4	TNF	SEMA4C	True	False	True	InnateDB-All	False	0.08			0.253	0.205									0.244	0.196																																																																					0.377	0.329									0.329	0.281						
CPI-SC0F4BC2909	COL6A2_a1b1 complex	simple:P12110	complex:a1b1 complex	COL6A2		True	False	False	curated	True	0.08																							0.476	0.471									1.663	1.657									0.519	0.514																													0.424	0.418																										
CPI-SS0D5C54214	LTA_RIPK1	simple:P01374	simple:Q13546	LTA	RIPK1	True	False	True	IMEx,InnateDB-All,MINT	False	0.08		0.122	0.124	0.125					0.123																																																																																			0.148	0.149	0.151					0.149	
CPI-SS0B87FE6E0	NOTCH1_JAG1	simple:P46531	simple:P78504	NOTCH1	JAG1	False	True	False	curated	False	0.08													0.227	0.22									0.425	0.419									0.258	0.252																																																	0.257	0.25																
CPI-SS0855C0353	NRP1_PGF	simple:O14786	simple:P49763	NRP1	PGF	True	True	False	curated	False	0.08													0.207	0.223									0.516	0.531									0.254	0.269																																																	0.297	0.312																
CPI-SS027CDEA08	NOTCH2_DLL4	simple:Q04721	simple:Q9NR61	NOTCH2	DLL4	False	True	False	curated	False	0.08			0.287										0.499																				0.488										0.297										0.452										0.335										0.294										0.4																	
CPI-SS02770D68F	NOTCH2_JAG2	simple:Q04721	simple:Q9Y219	NOTCH2	JAG2	False	True	False	curated	False	0.08			0.293										0.506																				0.495										0.304										0.459										0.342										0.301										0.406																	
CPI-SS0C1BD22BC	SPP1_PTGER4	simple:P10451	simple:P35408	SPP1	PTGER4	True	False	True	IMEx,MINT	False	0.08																																										0.381		0.256					0.381	0.444																																1.069		0.943					1.069	1.131										
CPI-SS027AFFC0E	NCR3_BAG6	simple:O14931	simple:P46379	NCR3	BAG6	False	True	False	curated	False	0.09	0.212	0.278	0.253	0.237	0.195	0.25		0.184	0.267	0.217																																																																																										
CPI-SS06D13FCD3	DSC2_DSG2	simple:Q02487	simple:Q14126	DSC2	DSG2	False	False	False	curated	False	0.09														0.137	0.131	0.177																												0.123	0.116	0.162																																						0.184	0.177	0.223														
CPI-SS054D158CC	NTRK1_GRN	simple:P04629	simple:P28799	NTRK1	GRN	True	True	False	InnateDB-All	False	0.09																																																													0.597	1.352	0.813	0.798	0.593	0.676	0.582	0.536	1.492																															
CPI-SS0C85BC9AF	PROS1_AXL	simple:P07225	simple:P30530	PROS1	AXL	True	False	True	guidetopharmacology.org	False	0.09																						0.25		0.351					0.332			0.216		0.317					0.297																							0.222		0.323					0.304																															
CPI-SC0A05D3880	THY1_aMb2 complex	simple:P04216	complex:aMb2 complex	THY1		False	False	False	curated	True	0.09																						0.238					0.266		0.399			0.962					0.99		1.123			0.234					0.263		0.396																																																			
CPI-SC0C6B54D7A	THY1_aXb2 complex	simple:P04216	complex:aXb2 complex	THY1		False	False	False	curated	True	0.09																						0.313					0.246		0.404			1.037					0.97		1.128			0.309					0.242		0.401																																																			
CPI-SC02AE206BE	COL6A3_a1b1 complex	simple:P12111	complex:a1b1 complex	COL6A3		True	False	False	curated	True	0.09																							0.401	0.395									1.494	1.488									0.453	0.447									0.427	0.422																			0.39																											
CPI-SS076D8415B	CCL3_IDE	simple:P10147	simple:P14735	CCL3	IDE	True	False	True	IMEx,InnateDB-All,MINT	False	0.09														0.153		0.161			0.159																																																																	0.78		0.788			0.786					0.162		0.17			0.168	
CPI-SS095DCA7F7	LILRA4_BST2	simple:P59901	simple:Q10589	LILRA4	BST2	False	True	False	curated	False	0.1											0.802	1.125	1.226	0.871	0.87	0.934	1.115	0.776	1.148	0.901																																																																																
CPI-SC0ECFACED2	COL6A3_a11b1 complex	simple:P12111	complex:a11b1 complex	COL6A3		True	False	False	curated	True	0.1				0.501										0.548										0.547										1.64										0.599										0.573										0.523										0.536										0.497										0.507						
CPI-SS01946BE5C	C5AR1_RPS19	simple:P21730	simple:P39019	C5AR1	RPS19	False	True	False	guidetopharmacology.org	False	0.1																																																																																	1.942	2.166	1.86	1.761	1.984	1.942	1.74	1.977	1.885	2.151										
CPI-SS0391D4602	NTRK1_NAMPT	simple:P04629	simple:P43490	NTRK1	NAMPT	True	True	False	InnateDB-All	False	0.1																																																													0.443	0.673	0.593	0.463	0.51	0.575	0.454	0.506	0.846	0.47																														
CPI-SS084BE3E4B	LTA_TNFRSF1A	simple:P01374	simple:P19438	LTA	TNFRSF1A	True	False	True	curated	False	0.1		0.282	0.433	0.47					0.436																																																																																			0.308	0.458	0.496	0.226				0.462	0.224
CPI-SS05D1A6BEF	NTRK1_AIMP1	simple:P04629	simple:Q12904	NTRK1	AIMP1	True	True	False	InnateDB-All	False	0.1																																																													0.478	0.555	0.5	0.5	0.464	0.53	0.478	0.458	0.546	0.513																														
CPI-SS088A0A760	EGFR_COPA	simple:P00533	simple:P53621	EGFR	COPA	True	True	False	InnateDB-All	False	0.1																															0.227	0.321	0.284	0.389	0.246	0.346	0.223	0.231	0.353	0.238																																																												
CPI-SS0E6E8A727	NTRK1_COPA	simple:P04629	simple:P53621	NTRK1	COPA	True	True	False	InnateDB-All	False	0.1																																																													0.487	0.581	0.543	0.648	0.505	0.605	0.482	0.49	0.613	0.497																														
CPI-SC0EB8DC52F	CD47_SIRB1 complex	simple:Q08722	complex:SIRB1 complex	CD47		False	True	True	curated	False	0.1		0.367							0.361			0.421							0.415													0.245							0.239																																											0.416							0.41			0.396							0.39	
CPI-SS0E9015902	CD47_SIRPG	simple:Q08722	simple:Q9P1W8	CD47	SIRPG	False	True	False	curated	False	0.1										0.498										0.552										0.329										0.376										0.343										0.315										0.366										0.309										0.547										0.527
CPI-SS0B1AB068C	NTRK1_GPI	simple:P04629	simple:P06744	NTRK1	GPI	True	True	False	InnateDB-All	False	0.1																																																													0.495	0.621	0.576	0.622	0.613	0.661	0.593	0.6	0.759	0.62																														
CPI-SS0A83A7E30	TNFSF13_FAS	simple:O75888	simple:P25445	TNFSF13	FAS	True	False	True	I2D,InnateDB-All	False	0.1												0.296		0.389					0.298	0.387																																		0.211						0.208																						0.34		0.433					0.341	0.43										
CPI-SS0E41702C1	IGF1_IGF1R	simple:P05019	simple:P08069	IGF1	IGF1R	True	False	True	curated	False	0.1																																	0.329	0.379	0.313	0.58		0.316																																													0.141	0.191	0.125	0.392		0.128												
CPI-SS0B01CF3AB	CSF1R_CSF1	simple:P07333	simple:P09603	CSF1R	CSF1	True	True	False	curated	False	0.1													0.37	0.465		0.375	0.446			0.395																																																															0.674	0.77		0.68	0.751			0.7										
CPI-SC007890A1C	CDH1_aEb7 complex	simple:P12830	complex:aEb7 complex	CDH1		False	False	False	curated	True	0.1																																																			0.258	0.254					0.265		0.258	0.337											0.151	0.147					0.158		0.151	0.23																				
CPI-SC07BE7830D	SPP1_a4b1 complex	simple:P10451	complex:a4b1 complex	SPP1		True	False	False	curated	True	0.1																																									0.418	0.444					0.363		0.403	0.51																															1.105	1.131					1.05		1.091	1.198										
CPI-SC070D5A96F	JAM2_a4b1 complex	simple:P57087	complex:a4b1 complex	JAM2		False	False	False	curated	True	0.1																					0.568	0.594					0.513		0.554	0.661	0.289	0.315					0.234		0.274	0.382																																																												
CPI-SC0329D5397	ICAM3_aLb2 complex	simple:P32942	complex:aLb2 complex	ICAM3		False	False	False	curated	True	0.11	0.424	0.456							0.463	0.603										0.448																																																		0.373																				0.319	0.459	0.491							0.498	0.638
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	True	False	True	curated	False	0.11																					0.996	0.871							0.678	1.057	1.307	1.183							0.99	1.368																																									0.664	0.539								0.725										
CPI-SS02A0FF87F	FAM3C_CLEC2D	simple:Q92520	simple:Q9UHP7	FAM3C	CLEC2D	True	False	True	IMEx,InnateDB-All,IntAct	False	0.11										0.552										0.464										0.524	0.356			0.295					0.302	0.635										0.47										0.457																														0.457										0.466
CPI-SS048346C2B	LGALS9_MRC2	simple:O00182	simple:Q9UBG0	LGALS9	MRC2	True	False	True	InnateDB-All	False	0.11				0.511										0.78					0.401					0.623					0.245					0.505																														0.59					0.211															0.952					0.573					0.531						
CPI-SC0847A64D2	FN1_aVb5 complex	simple:P02751	complex:aVb5 complex	FN1		True	False	False	curated	True	0.11																								0.685										1.863		1.594			1.61					0.851		0.582			0.598																									0.66										1.06		0.791			0.807											
CPI-SS0D0252D87	AXL_IL15RA	simple:P30530	simple:Q13261	AXL	IL15RA	True	True	True	I2D	False	0.12											0.138		0.167	0.192					0.195												0.239		0.268	0.293					0.297																																										0.22		0.249	0.274					0.277											
CPI-SS077B160B9	IL15_IL15RA	simple:P40933	simple:Q13261	IL15	IL15RA	True	False	True	guidetopharmacology.org	False	0.12											0.097		0.127	0.151					0.155		0.108		0.137	0.162					0.166																																																				0.124		0.153	0.178					0.181											
CPI-SS0E00478B4	NRP2_VEGFA	simple:O60462	simple:P15692	NRP2	VEGFA	True	True	False	curated	False	0.12																								0.271	0.277	0.298			0.32					0.314	0.32	0.341			0.363																																													0.275	0.281	0.302			0.324											
CPI-SS0241A1F57	NRP2_SEMA3C	simple:O60462	simple:Q99985	NRP2	SEMA3C	True	True	False	curated	False	0.12																						0.253		0.326		0.305			0.25			0.295		0.369		0.347			0.293																																											0.257		0.33		0.309			0.254											
CPI-SS0E0DEA7D5	PECAM1_CD38	simple:P16284	simple:P28907	PECAM1	CD38	False	True	True	curated	False	0.12	0.36	0.257							0.259		0.423	0.32							0.322		1.254	1.151							1.153																																																				0.492	0.389							0.391											
CPI-SS08330207B	BTLA_TNFRSF14	simple:Q7Z6A9	simple:Q92956	BTLA	TNFRSF14	False	True	True	guidetopharmacology.org	False	0.12	0.307	0.315	0.282				0.38		0.385	0.371	0.29	0.299	0.266				0.364		0.369	0.355																																																																																
CPI-SC0EEF3A379	LAMC1_a6b1 complex	simple:P11047	complex:a6b1 complex	LAMC1		True	False	False	curated	True	0.12																					0.332		0.769		0.33	0.368			0.313		0.386		0.823		0.384	0.422			0.367				0.56			0.159																																																						
CPI-SS0F8EFEECF	TNF_DAG1	simple:P01375	simple:Q14118	TNF	DAG1	True	False	True	InnateDB-All	False	0.12			0.229	0.257		0.237							0.22	0.249		0.229																																																																			0.353	0.382		0.362							0.305	0.334		0.313				
CPI-SS0A3569604	IGF2_IDE	simple:P01344	simple:P14735	IGF2	IDE	True	False	True	I2D,InnateDB-All	False	0.12																								0.386		0.394			0.392					0.395		0.404			0.401					0.315		0.324			0.321																									0.322		0.33			0.328																					
CPI-SS0FBC9234C	TNF_PTPRS	simple:P01375	simple:Q13332	TNF	PTPRS	True	False	True	InnateDB-All	False	0.12		0.425		0.258		0.193						0.416		0.249		0.185																																																																		0.549		0.382		0.318						0.501		0.334		0.269				
CPI-SS02B567BC7	PLXNC1_SEMA7A	simple:O60486	simple:O75326	PLXNC1	SEMA7A	False	True	False	curated	False	0.12											0.197	0.184					0.191														0.191	0.178					0.185																								0.132	0.119					0.125														0.246	0.232					0.239													
CPI-SS08B7D54A3	TNF_FAS	simple:P01375	simple:P25445	TNF	FAS	True	False	True	InnateDB-All	False	0.12				0.283						0.281				0.275						0.272																																																														0.315		0.408					0.316	0.405		0.267		0.359					0.268	0.357
CPI-SS0F3D40856	PGRMC2_CCL4L2	simple:O15173	simple:Q8NHW4	PGRMC2	CCL4L2	True	True	False	IMEx,IntAct	False	0.13									0.364	0.198												0.186							0.411	0.245		0.194							0.419	0.253												0.213							0.437	0.272																													0.371	0.205										
CPI-SS0AFC7BACF	ADGRG5_FAM3C	simple:Q8IZF4	simple:Q92520	ADGRG5	FAM3C	True	True	False	InnateDB-All	False	0.13	0.218		0.19	0.301	0.136					0.132	0.256	0.167	0.227	0.339	0.173	0.16			0.16	0.169																																																																																
CPI-SS0110361CB	LTA_TNFRSF14	simple:P01374	simple:Q92956	LTA	TNFRSF14	True	False	True	curated	False	0.13	0.301	0.309	0.277				0.375		0.38	0.365																																																																																	0.327	0.335	0.303			0.253	0.4		0.405	0.391
CPI-SC08923F7F7	F11R_aLb2 complex	simple:Q9Y624	complex:aLb2 complex	F11R		False	True	False	curated	True	0.13												0.158							0.165	0.305		0.159							0.166	0.306																					0.132	0.164							0.171	0.312																						0.146							0.153	0.293										
CPI-SS059EEFDC6	MIF_TNFRSF10D	simple:P14174	simple:Q9UBN6	MIF	TNFRSF10D	True	False	True	I2D,IntAct	False	0.13																																	1.05									1.305	1.385						1.321			1.158	1.238						1.175													1.228	1.308						1.244			1.024	1.104						1.04											
CPI-SC063BC3DDE	ICAM2_aLb2 complex	simple:P13598	complex:aLb2 complex	ICAM2		False	False	False	curated	True	0.14	0.206	0.238							0.245	0.385										0.312	0.488	0.52							0.527	0.667																																																												0.299	0.199	0.231							0.238	0.379
CPI-SS0AB21032D	PLXNB2_SEMA4C	simple:O15031	simple:Q9C0C4	PLXNB2	SEMA4C	False	True	True	curated	False	0.14													0.317	0.27									0.233	0.185									0.295	0.247									0.172	0.124									0.202	0.154																			0.178	0.13									0.328	0.281																
CPI-SS03156A825	LTA_LTBR	simple:P01374	simple:P36941	LTA	LTBR	True	False	True	I2D	False	0.14		0.228	0.254	0.312	0.199	0.224		0.163	0.314																																																																																			0.253	0.28	0.338	0.224	0.249		0.189	0.339	
CPI-SS02AB0C3E0	SPP1_CD44	simple:P10451	simple:P16070	SPP1	CD44	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.14																																									0.525	0.636					1.117		0.819	0.789																															1.213	1.324		1.175	1.129	1.145	1.805	1.116	1.506	1.477										
CPI-SS05B1FA8A8	LRP6_CKLF	simple:O75581	simple:Q9UBR5	LRP6	CKLF	True	True	False	IMEx,IntAct	False	0.14																						0.44		0.193	0.191		0.458		0.371	0.391		0.412					0.429		0.343	0.363												0.374					0.392		0.305	0.325																																								
CPI-SS044C72D0D	SEMA4A_PLXND1	simple:Q9H3S1	simple:Q9Y4D7	SEMA4A	PLXND1	False	False	True	curated	False	0.14			0.467	0.165					0.34			0.221	0.572	0.271					0.445																																		0.463	0.162					0.336																							0.223	0.574	0.273					0.447											
CPI-SS073C1B796	CD52_SIGLEC10	simple:P31358	simple:Q96LC7	CD52	SIGLEC10	True	False	False	curated	False	0.14	0.889	0.894					0.928		0.977								0.632		0.681																																										0.949	0.954					0.987		1.036																						1.24	1.245					1.279		1.328	
CPI-SS06AA638A8	CD72_SEMA4D	simple:P21854	simple:Q92854	CD72	SEMA4D	False	False	True	curated	False	0.15	0.227	0.232					0.362		0.287	0.356	0.181	0.185					0.316		0.241	0.309																																																													0.192	0.197					0.327		0.253	0.321										
CPI-SS0A76A8E97	HLA-F_LILRB2	simple:P30511	simple:Q8N423	HLA-F	LILRB2	False	False	True	curated	False	0.15		0.443							0.703			0.508							0.769			0.488							0.749										0.58										0.525													0.465							0.725										0.492			0.503							0.764			0.636							0.896	
CPI-SS0F739D3DB	ANXA1_FPR1	simple:P04083	simple:P21462	ANXA1	FPR1	True	False	True	guidetopharmacology.org	False	0.15												0.55							0.685			0.522							0.657			0.595							0.73			0.409							0.544													1.187							1.322										0.45			0.722							0.857			0.561							0.696	
CPI-SS09C4FCB90	ICAM1_SPN	simple:P05362	simple:P16150	ICAM1	SPN	False	True	False	curated	False	0.15		0.267								0.279		0.457							0.319	0.468		0.374							0.236	0.385		0.284								0.295																						0.299								0.31												0.482							0.345	0.494										
CPI-SS0F00D756A	CD40_TNFSF13B	simple:P25942	simple:Q9Y275	CD40	TNFSF13B	True	True	False	I2D,InnateDB	False	0.15		0.747		0.368					0.876			0.654		0.275					0.783			0.708		0.329					0.837			0.565		0.186					0.694																																											0.676		0.297					0.805											
CPI-SS0632A027A	CD44_HBEGF	simple:P16070	simple:Q99075	CD44	HBEGF	True	True	True	I2D,InnateDB-All	False	0.15									0.493			0.493	0.518						0.604																				0.455																				0.425			0.974	0.999						1.085													0.676	0.7						0.786			0.646	0.671						0.757	
CPI-SS02EBC1BB0	TNF_NOTCH1	simple:P01375	simple:P46531	TNF	NOTCH1	True	False	True	I2D	False	0.15		0.176	0.375	0.208					0.206				0.366	0.199					0.198																																																															0.301	0.499	0.332					0.331			0.252	0.451	0.284					0.282	
CPI-SS06CCF5A54	ANXA1_FPR3	simple:P04083	simple:P25089	ANXA1	FPR3	True	False	True	guidetopharmacology.org	False	0.15												0.577							0.937			0.549							0.91			0.622							0.983			0.436							0.797													1.214							1.575										0.703			0.749							1.11			0.588							0.948	
CPI-SS01560CA22	CD99_PILRA	simple:P14209	simple:Q9UKJ1	CD99	PILRA	True	False	True	curated	False	0.15									0.802										0.912			0.867							1.162			1.164							1.459										0.85										0.863			0.806							1.101										0.718			0.689							0.985			0.899							1.195	
CPI-SS085EE60B1	TGFB1_TGFBR3	simple:P01137	simple:Q03167	TGFB1	TGFBR3	True	False	True	curated	False	0.15			0.369	0.237									0.568	0.436									0.463	0.331									0.436	0.305																			0.299										0.487	0.355																			0.622	0.491									0.466	0.335						
CPI-SS060B82BBC	JAG1_NOTCH2	simple:P78504	simple:Q04721	JAG1	NOTCH2	False	False	True	curated	False	0.16																					0.244	0.457		0.446	0.255	0.41	0.293	0.252	0.357		0.238	0.451		0.44	0.248	0.403	0.286	0.246	0.351																																																													
CPI-SS0DE0A486F	NRP1_VEGFA	simple:O14786	simple:P15692	NRP1	VEGFA	True	True	False	curated	False	0.16														0.197	0.204	0.225			0.246					0.506	0.512	0.533			0.555					0.244	0.25	0.271			0.293																																													0.286	0.293	0.314			0.336											
CPI-SS033E6DE7E	NRP1_VEGFB	simple:O14786	simple:P49765	NRP1	VEGFB	True	True	False	curated	False	0.16												0.249		0.272		0.182			0.219			0.558		0.58		0.491			0.527			0.296		0.318		0.229			0.266																																											0.338		0.361		0.272			0.308											
CPI-SS098425155	ADRB2_VEGFB	simple:P07550	simple:P49765	ADRB2	VEGFB	True	True	False	InnateDB-All	False	0.16												0.164		0.186		0.097			0.133			0.175		0.197		0.108			0.145																																	0.627		0.65		0.561			0.597													0.158		0.181		0.091			0.128											
CPI-SS0DBA81CCF	HLA-G_LILRB2	simple:P17693	simple:Q8N423	HLA-G	LILRB2	False	True	True	curated	False	0.16		0.21							0.47			0.298							0.558			0.278							0.538			0.226							0.486													0.193							0.453			0.22							0.481													0.32							0.58			0.255							0.515	
CPI-SS0D2539AEB	FPR3_HEBP1	simple:P25089	simple:Q9NRV9	FPR3	HEBP1	False	True	False	guidetopharmacology.org	False	0.16												0.285	0.374	0.357	0.292	0.411	0.241	0.272	0.377																																																															0.646	0.735	0.718	0.653	0.772	0.602	0.633	0.738											
CPI-SS048A2311A	TNF_RIPK1	simple:P01375	simple:Q13546	TNF	RIPK1	True	False	True	I2D,IMEx,InnateDB,InnateDB-All,IntAct,MINT	False	0.16		0.201	0.202	0.203					0.201			0.192	0.193	0.195					0.192																																																															0.325	0.326	0.328					0.325			0.277	0.278	0.279					0.277	
CPI-SS087321EB5	SELL_SELPLG	simple:P14151	simple:Q14242	SELL	SELPLG	False	False	True	curated	False	0.17	0.411	0.744					0.434		0.558	0.668	0.437	0.769					0.459		0.583	0.694																																																														0.463								0.387	0.324	0.657					0.346		0.471	0.581
CPI-SC0F4AC5AA2	ICAM1_aLb2 complex	simple:P05362	complex:aLb2 complex	ICAM1		False	True	False	curated	True	0.17										0.299	0.309	0.341							0.348	0.488	0.226	0.258							0.265	0.405									0.175	0.315																													0.19	0.33											0.334	0.367							0.374	0.514										
CPI-SS0E9A581F8	ICAM1_ITGAL	simple:P05362	simple:P20701	ICAM1	ITGAL	False	True	True	curated	False	0.17										0.299	0.309	0.341							0.348	0.488	0.226	0.258							0.265	0.405									0.175	0.315																													0.19	0.33											0.334	0.367							0.374	0.514										
CPI-SC0B4D7E0FF	FN1_a4b7 complex	simple:P02751	complex:a4b7 complex	FN1		True	False	False	curated	True	0.17																														0.538	1.676	1.617					1.628		1.624	1.716	0.664	0.605					0.616		0.611	0.703																														0.512	0.872	0.813					0.824		0.82	0.912										
CPI-SS02EF3E1BA	TNFSF12_TNFRSF12A	simple:O43508	simple:Q9NP84	TNFSF12	TNFRSF12A	True	False	True	curated	False	0.17														0.305	0.156		0.171	0.13																0.317	0.168	0.127	0.183	0.141	0.125																																											0.155		0.374	0.225	0.184	0.24	0.198	0.182											
CPI-SC08B2AD7C6	FN1_a5b1 complex	simple:P02751	complex:a5b1 complex	FN1		True	False	False	curated	True	0.17																							0.727	0.505					0.509			1.609	1.905	1.683					1.687			0.597	0.893	0.67					0.675				0.494																				0.701									0.806	1.101	0.879					0.883											
CPI-SC0B6D68FD5	ICAM1_aMb2 complex	simple:P05362	complex:aMb2 complex	ICAM1		False	True	False	curated	True	0.18		0.161					0.19		0.323			0.351					0.379		0.512			0.268					0.296		0.429			0.178					0.206		0.339																							0.193					0.221		0.354													0.376					0.405		0.538											
CPI-SC0A9458008	ICAM1_aXb2 complex	simple:P05362	complex:aXb2 complex	ICAM1		False	True	False	curated	True	0.18		0.236					0.169		0.328			0.426					0.359		0.517			0.343					0.276		0.434			0.253					0.186		0.344																							0.268					0.201		0.359													0.451					0.385		0.543											
CPI-SS03A4F7DC8	AXL_GAS6	simple:P30530	simple:Q14393	AXL	GAS6	True	True	False	guidetopharmacology.org	False	0.18											0.225	0.417	0.311	0.514	0.19				0.283												0.326	0.518	0.412	0.615	0.291				0.384																																										0.306	0.498	0.393	0.596	0.272				0.365											
CPI-SC06364D669	FN1_a4b1 complex	simple:P02751	complex:a4b1 complex	FN1		True	False	False	curated	True	0.18																						0.595								0.662	1.747	1.773					1.692		1.733	1.84	0.735	0.761					0.68		0.721	0.828																														0.636	0.943	0.969					0.888		0.929	1.036										
CPI-SS0E7D5974D	TNF_TNFRSF1B	simple:P01375	simple:P20333	TNF	TNFRSF1B	True	False	True	curated	False	0.18		0.387	0.388						0.49	0.44		0.378	0.379						0.481	0.432																																																													0.324	0.511	0.512						0.614	0.565	0.275	0.463	0.464						0.566	0.516
